zip code,graduate_or_professional,highSchool_or_higher,bachelors_or_higher
78373,12.1,98.2,32.9
47421,5.7,89.6,16.3
92239,2.3,88.7,7.5
32709,6.4,82.9,17.4
76457,5.1,82.1,16.7
54610,6.6,95.3,19.6
69028,5,95.9,21
33065,7.8,88.5,28.2
17771,6,88.6,15.5
56211,3.2,94.5,11.3
94108,16.2,71.4,45.2
12481,14.4,83.3,33.6
23505,11.9,89.4,29.6
64854,5.5,75.4,13.2
31532,6.4,70.1,9.3
99344,3.6,58.8,10.4
50074,4.4,98,25.2
35080,14,96.7,49.9
99918,3.1,88.2,17.4
14041,8.8,78.8,16.3
43202,26.5,95.1,64
46127,0,87.2,0
50675,5.3,93.2,23
95722,14.7,95.1,38.8
58339,0,90,45
07821,11.9,97.2,40.4
67601,11.8,93.6,37.3
53563,8.5,93.5,28.8
97524,5.8,91.6,17.4
39752,7.1,88.3,16.8
62563,18.2,97.1,48.8
71286,0.8,71.9,2.1
07442,12.7,94.1,34.3
54234,17.7,98.1,49.5
00985,5.9,81.8,23
84646,2.8,75.3,13.8
63373,5,87.9,13.8
18938,27,96.9,59.2
64436,3.4,95.5,26.8
59746,12.6,98.9,37.9
47336,4,81.6,9.2
79324,0,100,0
55795,3.3,89,15.1
43464,5.4,95.1,26.6
69141,1.3,93,15.2
20181,13.8,90.5,35.8
56738,6,91.6,18.6
46161,10.4,94.7,18.3
92706,7.5,65.4,19.5
56470,8.5,92,26.8
84036,10,90.8,33.3
95340,11.2,84.5,24
16054,1.4,85.2,10.5
25411,8.6,86.3,19.1
44401,2.9,93.4,13.7
03850,23.2,100,39.7
03840,23.3,98.4,60.6
73730,10.3,90.5,23.3
37843,6.1,83.7,17
58204,13.3,99.4,32.8
53058,20.2,98.8,50.5
93643,9.2,91.8,20.6
59471,10.8,98.6,36.8
75645,6.2,86,20.2
59480,5.6,77.2,13.5
61769,0.9,89.5,8.7
24326,3.8,84.8,14.3
60479,2.7,92.4,13.1
56153,1.9,85.7,1.9
15009,13.7,95,36.7
64058,5.7,93.1,18.7
76379,7,87.7,24.6
73453,10.5,81.5,20.2
70665,4.6,89.7,20.5
58651,2.7,87.9,15.6
47590,0,85.7,9.9
27517,38.9,95.4,71.1
23153,10.6,94.7,34.6
28465,14.1,92.3,38.1
74034,1.1,83,2.3
07852,11.3,97.9,44.1
38348,6.2,81,12.3
74534,9.1,75.2,10.7
85546,3.4,87.1,12.3
51649,5.3,92.6,16.8
49423,11.8,89.2,31.6
20715,21.1,95.1,48.3
73651,3.8,81.3,16.5
28080,3.3,80.3,13.6
88002,9.6,95.9,35.8
97911,0,85.7,2.4
66509,5.4,94.8,14
28207,33.8,97.9,81.1
31316,6.9,87.2,18.7
24894,1.2,29.6,3.1
55613,10.6,96.5,31.2
50540,3.5,90.7,22.5
68826,4,94.7,20.4
22443,7.3,89.5,22.3
33036,10.7,95.6,33.2
45673,0,78.1,0
87562,11,89.3,11
52136,6.9,92,16.2
61364,4.2,86.9,14.4
68788,6,83.8,21.4
04092,8.9,92.4,29.9
12495,28.5,95.3,49
68628,3.9,93.5,17.3
36526,13.2,95,40.4
71371,4.5,73.6,13.2
83336,4.3,75.2,14.8
23112,17.9,95.1,49.4
55784,0,94.7,3.2
60029,39.3,93.3,75.5
43750,54.6,94.6,54.6
49780,8.5,93.7,18.3
46930,1.8,70.9,12.7
76370,4.9,77.9,7.8
03830,1.1,96.6,21.3
40051,3.2,86.3,10.6
26228,0,100,0
24472,3.6,81.6,17.5
53137,4.9,95.5,23.5
20057,81.4,100,81.4
62674,4.2,89.4,13.8
94074,0,100,34.4
37377,27.1,95.1,58.8
02131,20.1,90.5,43.2
08641,8.1,97.2,29.7
33711,9.6,86.2,24.4
27805,3.1,73.5,9
70342,3.5,72.6,12.6
40033,7.3,80.7,16.1
57331,4.2,96.6,22.6
95550,8,93.3,61.3
90240,7.8,77.6,25.2
41517,10.7,71.4,17.1
57231,8.1,93.5,24.2
72744,5.1,79.8,11.7
48363,23.5,95.1,46.4
43740,0.5,91.5,4.8
59252,3.3,98.4,19.7
75833,5.1,87.2,19.4
38313,8.2,82,22.6
48603,14.8,94.9,35.6
29429,8.4,87.5,27.9
05455,12.1,96,35
21140,17.3,97.2,50.8
30543,8.7,76.2,17.9
49321,7.5,89.3,26.5
22942,10.7,83.8,25
30746,3.1,63.6,5.9
96772,5.9,91,20.3
07732,16.6,90.2,31.2
46182,5.2,87.2,14.1
63785,2.4,84.2,6.6
44437,5.8,90.8,17.7
90089,10.5,100,34.2
56215,3.9,89.5,16.9
72616,6.6,85.4,15.8
76598,1.2,78.8,2.6
30285,7.1,78.6,20.9
97031,12.4,79,31.2
02713,28,100,64
60465,9.8,92.3,25
60437,0,93.1,4.3
