number_of_fastfood,zipcode,population,state,county,graduate_or_professional,highSchool_or_higher,bachelors_or_higher,median,stdev,lat,lon,clean_mean
2,62002,31742.0,IL,Madison County,8.6,90.6,21.6,40146.5,37189.5,38.9025,-90.1701,49696.0
1,62010,11576.0,IL,Madison County,8.6,94.7,21.8,64077.0,47215.5,38.9089,-90.0545,74164.5
4,62025,34151.0,IL,Madison County,19.2,96.9,46.6,41927.5,38160.5,38.8275,-89.9653,47399.0
1,62035,16238.0,IL,Madison County,9.2,95.7,25.7,183435.0,57667.0,38.9448,-90.2323,90891.0
2,62040,42880.0,IL,Madison County,4.9,88.5,13.6,58774.75,38240.5,38.7278,-90.1108,62740.25
1,62052,12502.0,IL,Jersey County,6.8,91.2,19.0,48640.0,57748.0,39.0951,-90.3386,62956.0
7,62056,8776.0,IL,Montgomery County,7.4,86.4,18.3,32150.0,31420.0,39.1892,-89.6475,42683.0
2,62206,15405.0,IL,St. Clair County,2.0,82.5,7.1,28205.0,31517.0,38.5681,-90.186,40420.0
3,62221,28228.0,IL,St. Clair County,13.7,94.7,34.6,181520.75,54091.0,38.5285,-89.9543,71979.5
1,62226,29019.0,IL,St. Clair County,10.9,92.9,28.5,34661.33,41897.33,38.5373,-90.0067,45883.0
2,62231,7378.0,IL,Clinton County,7.0,88.7,23.1,61079.0,43232.0,38.6923,-89.3115,66206.0
1,62232,7269.0,IL,St. Clair County,7.7,89.0,18.7,72195.0,53581.0,38.6297,-90.0292,79764.0
5,62234,31937.0,IL,Madison County,9.9,90.9,25.8,47495.0,43615.0,38.6861,-89.9979,57693.25
1,62246,9960.0,IL,Bond County,8.0,89.6,23.5,28301.0,69728.0,38.8862,-89.39,64346.0
1,62278,6785.0,IL,Randolph County,5.9,93.0,17.7,57667.0,52627.5,38.2454,-89.9832,70598.5
1,62286,6186.0,IL,Randolph County,5.3,91.1,19.2,36420.5,44923.5,38.1328,-89.6829,46213.0
2,62301,32664.0,IL,Adams County,8.1,90.2,20.9,83411.67,38572.17,39.9411,-91.396,58896.83
2,62363,5952.0,IL,Pike County,5.6,88.8,20.9,36317.0,45079.0,39.6108,-90.8068,49247.0
3,62441,7134.0,IL,Clark County,6.0,92.2,18.4,48768.0,33492.0,39.34,-87.6986,53705.0
2,62454,11280.0,IL,Crawford County,6.0,84.8,17.4,52296.5,48986.0,39.0577,-87.7601,62318.5
6,62471,10019.0,IL,Fayette County,4.5,81.1,12.8,17235.0,27268.0,38.9465,-89.1094,27773.0
1,62522,15456.0,IL,Macon County,9.6,89.2,25.5,17525.0,24577.0,39.8505,-88.965,26720.0
1,62526,33205.0,IL,Macon County,7.5,85.6,18.7,41656.75,30711.75,39.8802,-88.9577,47513.0
4,62568,15985.0,IL,Christian County,6.2,88.3,18.3,42989.0,39132.0,39.5462,-89.3082,54757.0
2,62626,7925.0,IL,Macoupin County,11.4,89.1,28.4,300000.0,33013.0,39.2818,-89.8875,64871.0
4,62650,26948.0,IL,Morgan County,7.5,91.6,22.9,36943.25,44280.75,39.7264,-90.2343,50678.75
1,62656,21505.0,IL,Logan County,5.8,86.3,19.3,51174.5,42583.5,40.1534,-89.3712,54975.0
2,62702,34447.0,IL,Sangamon County,5.8,86.3,18.7,34042.83,38640.0,39.8222,-89.6447,44478.5
1,62703,31492.0,IL,Sangamon County,7.0,87.0,19.9,36588.25,33428.5,39.7726,-89.6307,43883.25
1,62704,40549.0,IL,Sangamon County,19.7,94.3,46.7,63383.0,55743.67,39.7796,-89.6793,72710.83
3,62801,22125.0,IL,Marion County,4.7,84.2,13.8,39441.5,37066.5,38.53,-89.11399999999999,45482.5
1,62837,8790.0,IL,Wayne County,4.3,88.0,13.6,37313.5,31810.5,38.3652,-88.2835,41137.5
3,62863,9741.0,IL,Wabash County,6.2,89.3,19.9,42030.5,36458.5,38.3916,-87.8099,50333.0
6,62864,23630.0,IL,Jefferson County,8.4,86.8,18.6,47509.5,44727.5,38.3287,-88.9078,56322.0
1,62901,26752.0,IL,Jackson County,27.6,94.2,47.3,29142.5,42971.25,37.7334,-89.2414,43757.5
3,62906,6724.0,IL,Union County,9.8,85.7,25.1,36314.5,42142.0,37.4581,-89.2351,46722.0
1,62959,28257.0,IL,Williamson County,10.0,91.4,22.4,45605.33,44353.67,37.7119,-88.9187,56295.67
1,62960,11596.0,IL,Massac County,3.8,85.6,13.7,28657.0,35657.5,37.1568,-88.7091,41045.0
3,62966,15061.0,IL,Jackson County,12.7,89.3,26.0,49836.0,25544.0,37.7305,-89.3652,53421.0
2,63005,17570.0,MO,St. Louis County,37.4,99.2,75.9,204459.0,74969.67,38.6226,-90.7071,131412.0
5,63010,36171.0,MO,Jefferson County,7.7,87.5,22.5,221371.33,49321.67,38.4275,-90.4186,77710.0
2,63011,38305.0,MO,St. Louis County,21.9,95.6,55.9,191183.5,70443.0,38.5991,-90.5553,106398.0
2,63017,41596.0,MO,St. Louis County,31.0,97.8,65.2,142509.8,64409.6,38.6425,-90.5448,110960.8
1,63020,20647.0,MO,Jefferson County,4.2,84.1,10.7,50193.33,45261.67,38.0883,-90.5183,59683.0
2,63026,44122.0,MO,St. Louis County,11.6,93.1,36.0,143026.0,60164.33,38.505,-90.4928,95576.33
1,63028,26272.0,MO,Jefferson County,7.1,87.4,18.8,59038.0,42250.0,38.2477,-90.4122,64364.0
2,63033,42434.0,MO,St. Louis County,10.8,92.2,30.1,110769.25,43269.5,38.8032,-90.2916,62207.5
1,63042,20409.0,MO,St. Louis County,7.6,90.4,22.6,46042.5,27932.0,38.7876,-90.4132,49905.5
1,63052,26051.0,MO,Jefferson County,7.5,89.9,22.2,137609.0,52635.33,38.3987,-90.4625,75216.67
2,63069,15474.0,MO,Franklin County,10.2,90.5,28.6,79385.0,72543.0,38.4827,-90.6661,102151.0
3,63080,13143.0,MO,Franklin County,4.8,80.6,12.9,176154.5,33118.5,38.265,-91.2055,45165.5
3,63090,21713.0,MO,Franklin County,10.6,92.3,29.6,44528.5,49335.5,38.5432,-90.9816,56586.0
1,63104,20320.0,MO,St. Louis city,22.5,91.9,47.3,44437.5,60790.75,38.6141,-90.2177,66659.75
1,63107,10437.0,MO,St. Louis city,4.9,78.2,11.9,22792.0,25666.0,38.6587,-90.2054,28228.67
1,63108,21345.0,MO,St. Louis city,32.7,91.3,60.4,14980.5,31706.5,38.6475,-90.2535,26631.0
1,63114,35530.0,MO,St. Louis County,5.2,86.2,16.2,37406.0,39778.6,38.6938,-90.3574,47244.6
1,63115,18446.0,MO,St. Louis city,4.6,76.0,13.4,20840.5,36160.67,38.6768,-90.2515,32693.0
1,63119,33894.0,MO,St. Louis County,29.0,96.5,60.7,87244.0,58536.5,38.592,-90.3509,93304.25
